place_id,amenity,road,hamlet,city,county,state,ISO3166-2-lvl4,postcode
11453,,Calle del Kayac,,San José del Cabo,Municipio de Los Cabos,Baja California Sur,MX-BCS,23407
11454,Costco Gasoline,Boulevard Benito Juárez,,Mexicali,,Baja California,MX-BCN,21000
11455,Pemex,Centauro del Norte,,,Hueypoxtla,Estado de México,MX-MEX,76903
11456,Pemex,Entrada Jorobas-Tula,,,Atotonilco de Tula,Hidalgo,MX-HID,
11457,Rendichicas,Calle Benito Juárez,,Tijuana,Municipio de Tijuana,Baja California,MX-BCN,22050
11458,,Avenida Pedro Méndez Magaña,,,Cunduacán,Tabasco,MX-TAB,86690
11459,,,,,Chalchihuites,Zacatecas,MX-ZAC,
11460,Mobil,Circuito Juan Pablo II,,Municipio de Puebla,,Puebla,MX-PUE,72430
11461,Mobile,Federal a Tehuacán,,Municipio de Puebla,,Puebla,MX-PUE,72320
11462,Mobil,Autopista México - Puebla,Santo Domingo Cienega Honda,,Huejotzingo,Puebla,MX-PUE,72620
11463,,Calle 11 Poniente,,Municipio de Puebla,,Puebla,MX-PUE,72180
11464,Mobil,Autopista México - Puebla,,,Huejotzingo,Puebla,MX-PUE,72620
11465,Pemex,Avenida Licenciado Adolfo López Mateos,,San Nicolás de los Garza,San Nicolás de los Garza,Nuevo León,MX-NLE,66490
11466,Pemex,MOR 9,,,Ayala,Morelos,MX-MOR,62723
11467,BP,Avenida Reforma,,Municipio de Puebla,,Puebla,MX-PUE,72140
11468,Pemex,Calle Vicente Guerrero,,,Metepec,Estado de México,MX-MEX,52140
11469,,Calle 5 de Mayo,,,Teoloyucan,Estado de México,MX-MEX,54770
11470,,Circuito De la Industria Norte,,,Lerma,Estado de México,MX-MEX,52004
11471,,Calle David Alfaro Siqueiros,,Mexicali,,Baja California,MX-BCN,21000
11472,,,,,Guasave,Sinaloa,MX-SIN,
11473,,Libramiento San José de Gracia,,,Tepatitlán de Morelos,Jalisco,MX-JAL,47728
11474,,Calle Río Mocorito,,Mexicali,,Baja California,MX-BCN,21360
11475,Pemex,Calzada Héctor Terán Terán,,Mexicali,,Baja California,MX-BCN,21000
11476,,Calle Durango,,,,Ciudad de México,MX-CMX,06700
11477,,,,,Tarímbaro,Michoacán,MX-MIC,58880
11478,Arco,Boulevard Anáhuac,,Mexicali,,Baja California,MX-BCN,21000
11479,PEMEX,Avenida Insurgentes Norte,,Ciudad de México,,Ciudad de México,MX-CMX,
11480,,Alberto Jimenez,,,Municipio de Mexicali,Baja California,MX-BCN,21972
11481,,Carretera Uriangato-Santa Ana Maya,,,Acámbaro,Guanajuato,MX-GUA,38773
11482,PEMEX,Autopista Guadalajara - Colima,,,Tlajomulco de Zuñiga,Jalisco,MX-JAL,46640
11483,,Carretera Federal Puebla - Xalapa,,,Acatzingo,Puebla,MX-PUE,75460
11484,,Calle Central,,,Guaymas,Sonora,MX-SON,85476
